Dictionary,Type,Countries
 Gasht-e Ershâd,Entity,AU
 RT-ENERGY EFFICIENCY LIMITED LIABILITY COMPANY,Entity,NZ
 Russia Agricultural Bank,Bank,NZ
" أنصار الشريعة – درنة
",Entity,AU
 أنصار الشريعة بليبيا ,Entity,AU
 الملثمون,Entity,AU
"‘State Unitary Enterprise of the Crimean Republic “Crimean Sea Ports”’ including branches: Feodosia Commercial Port, Kerch Ferry, Kerch Commercial Port",Entity,AU
“Sobol”,Entity,AU
"""The Base""",Entity,AU
140 Repair Plant JSC,Entity,NZ
14th Motorized Rifle Battalion,Entity,AU
195 Repair Plant of Rocket and Artillery Weapons Joint Stock Company,Entity,AU
195 RZ RAV,Entity,AU
224 Flight Unit State Airline Open Joint Stock Company,Entity,AU
224 LO OJSC,Entity,AU
2ND ACADEMY OF NATURAL SCIENCES,Entity,AU
32 COUNTY SOVEREIGNTY COMMITTEE,Entity,AU
"35 Shipyard, branch of Zvezdochka Ship Repair Center",Entity,NZ
3M Mi MMM  ,Entity,AU
3MG,Entity,AU
5th Separate Motor Rifle Brigade  ,Entity,AU
711 Aircraft Repair Plant (711 ARZ),Entity,NZ
7TH OF TIR,Entity,AU
7th of Tir Company,Entity,AU
7th of Tir Industries,Entity,AU
7th of Tir Industries Complex,Entity,AU
85th Main Special Service Centre (GTsSS),Entity,NZ
8th Imam Industries Group,Entity,AU
90 EKSPERIMENTALNY ZAVOD OAO,Entity,NZ
929 GLIT ,Entity,AU
929 State Flight Test Center,Entity,AU
A. Lyulki Science and Technology Center ,Entity,AU
A.A. Bochvar High-Technology Research Institute of Inorganic Materials Joint Stock Company,Entity ,AU
A.E. Nudelman KB Tochmash JSC,Entity,AU
A.E. Nudelman Precision Engineering Design Bureau Joint Stock Company,Entity,AU
AAMB,Entity,AU
"AB Rossiya, OAO",Entity,AU
ABDALLAH AZZAM BRIGADES (AAB),Entity,AU
Abdullah Azzam Brigades ,Entity,AU
Abnaa ul-Calipha,Entity,AU
Abr Arvan,Entity,AU
Abraj Tech,Entity,AU
Abu Ahmed Group,Entity,AU
Abu Ali Mustafa Brigades ,Entity,AU
Abu Nidal Organisation,Entity,AU
Abu Nidal Organization,Entity,AU
Abu Sayyaf Group,Entity,AU
Abzar Boresh Kaveh,Entity,AU
ABZAR BORESH KAVEH CO,Entity,AU
Academician V.P.Makeyev State Rocket Center,Entity,AU
Academy of National Defense Science,Entity,AU
ACADEMY OF NATURAL SCIENCES,Entity,AU
Addounia TV,Entity,AU
ADF,Entity,AU
ADF/NALU,Entity,AU
Admiralty Shipyards,Entity,AU
Admiralty Shipyards JSC,Entity,NZ
Advanced Research Foundation (FPI),Entity,"NZ, AU"
Aerospace Division of IRGC,Entity,AU
Aerospace Force of The Army Of The Guardians Of The Islamic Revolution,Entity,AU
AEROSPACE INDUSTRIES ORGANISATION,Entity,AU
AFAGIR,Entity,AU
Afghan Service Bureau ,Entity,AU
AFGHAN SUPPORT COMMITTEE (ASC),Entity,AU
Agat-Control Systems OJSC,Entity,NZ
Agat-Electromechanical Plant OJSC,Entity,NZ
Agricultural Development Bank,Entity,AU
"Agrofirma Magarach Natsionalnogo Instytutu Vynogradu I Vyna Magarach, Dp",Entity,AU
Ahmad Shah Hawala,Entity,AU
Ahrar-ul-Hind,Entity,AU
AHYA UL TURAS,Entity,AU
AIC Comprehensive Research Institute,Entity,AU
AIC Sogo Kenkyusho,Entity,AU
"Aid Organization of the Ulema, Pakistan",Entity,AU
AIG,Entity,AU
AIO,Entity,AU
Air Defence Missile Industries Group,Entity,AU
Air Force Intelligence Agency,Entity,AU
AIRCRAFT ENGINES DESIGN AND MANUFACTURING COMPANY,Entity,AU
Ajnad,Entity,AU
Akhtarabad Medical Camp,Entity,AU
Aknaf Bayt al-Maqdis,Entity,AU
Aknaf Beit al-Maqdis,Entity,AU
"Aktcionernoe Obshchestvo ""Nauchno-Proizvodstvennoe Obedinenie"" Splav",Entity,AU
Aktsionerne Tovarystvo Sberbank,Entity,AU
Aktsionernoe Obshchestvo Elektron Optronik ,Entity,NZ
AKTSIONERNOE OBSHCHESTVO MOSKOVSKI MASHINOSTROITELNY EKSPERIMENTALNY ZAVOD - KOMPOZITSIONNYE TEKHNOLOGII,Entity,NZ
Aktsionernoe Obshchestvo Nauchno Issledovatelskii Institut Promyshlennogo Televideniya Rastr,Entity,NZ
Aktsionernoe Obshchestvo Nauchno Issledovatelskii Institut Sredstv Vychislitelnoi Tekhniki,Entity,NZ
Aktsionernoe Obshchestvo Nauchno Proizvodstvennoe Predpriyatie Svyaz,Entity,NZ
AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE OPTIKA,Entity,NZ
Aktsionernoe Obshchestvo Nauchno-Proizvodstvenny Kontsern Tekhnologii Mashinostroeniya,Entity ,AU
AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKI ZAVOD POLUPROVODNIKOVYKH PRIBOROV S OKB,Entity,NZ
Aktsionernoe Obshchestvo Proton-Elektroteks,Entity,NZ
AKTSIONERNOE OBSHCHESTVO RT-AVTO,Entity,NZ
AKTSIONERNOE OBSHCHESTVO RT-BIOTEKHPROM,Entity,NZ
AKTSIONERNOE OBSHCHESTVO RT-KHIMICHESKIE TEKHNOLOGII I KOMPOZITSIONNYE MATERIALY,Entity,NZ
AKTSIONERNOE OBSHCHESTVO RT-OKHRANA,Entity,NZ
AKTSIONERNOE OBSHCHESTVO RT-STROITELNYE TEKHNOLOGII,Entity,NZ
Aktsionernoe Obshchestvo Ryazanskii Zavod Metallokeramicheskikh Priborov,Entity,NZ
Aktsionernoe Obshchestvo Spetsialnoe Konstruktorskoe Byuro Vychislitelnoi Tekhniki,Entity,NZ
Aktsionernoe Obshchestvo Spetsialnoe Proektno Konstruktorskoe Byuro Sredstv Upravleniya,Entity,NZ
Aktsionernoe Obshchestvo Torgovo-Finansovaya Kompaniya KAMAZ,Entity,NZ
AKTSIONERNOE OBSHCHESTVO TSENTRALNOE KONSTRUKTORSKOE BYURO SPETSIALNYKH RADIOMATERIALOV,Entity,NZ
Aktsionernoe Obshchestvo Upravlyayushchaya Kompaniya Rossiskogo Fonda Pryamykh Investitsi,Entity,AU
Aktsionernoye Obshchestvo Upravlyayushchaya Kompaniya Rossiyskogo Fonda Pryamykh Investitsiy,Entity,AU
Aktsionerny Bank Russian Federation,Entity,AU
Aktsionerny Kommercheski Bank Novikombank Aktsionernoe Obshchestvo,Entity,AU
Al Akhtar Trust,Entity,AU
Al Ameen Trust,Entity,AU
Al Amin Trust,Entity,AU
Al Amin Welfare Trust ,Entity,AU
Al Bir Al Dawalia,Entity,AU
Al Dounia ,Entity,AU
Al Furqan,Entity,AU
Al Gama’at,Entity,AU
Al Harakat Al Islamiyya,Entity,AU
Al Haramain Al Masjed Al Aqsa,Entity,AU
Al Haramayn Al Masjid Al Aqsa,Entity,AU
Al Harammein Al Masjed Al-Aqsa Charity Foundation,Entity,AU
Al Jamm'ah Al-Islamiah Al-Musallah,Entity,AU
Al Kawthar Co.,Entity,AU
Al Kawthar Company,Entity,AU
Al Kifah,Entity,AU
Al Madina Trust,Entity,AU
Al Mahrus Group Trading Company,Entity,AU
al Mansooreen,Entity,AU
al Mansoorian,Entity,AU
Al Mashrek Fund,Entity,AU
Al Mashrek Global Investment Limited,Entity,AU
Al Mashrek Holding,Entity,AU
Al Mashreq Investment Fund,Entity,AU
Al Mashriq Holding,Entity,AU
Al Mashriq Investment Fund,Entity,AU
AL MOUAKAOUNE BIDDAM,Entity,AU
AL MOULATHAMOUN,Entity,AU
AL MOURABITOUN,Entity,AU
Al Muqawamah al Islamiyyah,Entity,AU
Al Qa'ida,Entity,AU
Al Qaeda,Entity,AU
Al Qaïda au Maghreb islamique ,Entity,AU
al Quds Brigade,Entity,AU
Al Rasheed Trust,Entity,AU
AL RASHID TRUST,Entity,AU
Al Sanabil,Entity,AU
Al Silsilah al Dhahaba,Entity,AU
"Al Taibah, Intl",Entity,AU
Al Wafa,Entity,AU
Al Wafa Organization,Entity,AU
AL WASEL AND BABEL GENERAL TRADING LLC,Entity,AU
Al Watan Newspaper,Entity,AU
Al Zawaya Group for Development and Investment Sociedad Limitada,Entity,AU
Al-Akhtar Medical Centre,Entity,AU
Al-Akhtar Trust International,Entity,AU
Al-Ameen Trust,Entity,AU
Al-Aqsa,Entity,AU
Al-Aqsa Charitable Foundation,Entity,AU
Al-Aqsa Charitable Organization,Entity,AU
Al-Aqsa E.V.,Entity,AU
Al-Aqsa Foundation,Entity,AU
Al-Aqsa International Foundation,Entity,AU
Al-Aqsa Islamic Charitable Society,Entity,AU
Al-Aqsa Martyrs' Battalion,Entity,AU
Al-Aqsa Martyrs' Brigade,Entity,AU
Al-Aqsa Sinabil Establishment,Entity,AU
al-Aqsa Spanm I Stiftelse,Entity,AU
al-Aqsa Spanmal Stiftelse,Entity,AU
Al-ARABI TRADING COMPANY,Entity,AU
"AL-BASHA'IR TRADING COMPANY, LTD",Entity,AU
"AL-BASHAAIR TRADING COMPANY, L TD",Entity,AU
"AL-BASHAER TRADING COMPANY, LTD",Entity,AU
"AL-BASHAIR TRADING COMPANY, LTD",Entity,AU
"AL-BASHIR TRADING COMPANY, LTD",Entity,AU
"AL-BUSHAIR TRADING COMPANY, LTD",Entity,AU
AL-DJIHAD AL-ISLAMI,Entity,AU
Al-Donya Television Channel,Entity,AU
Al-Dunya Television,Entity,AU
Al-Faran,Entity,AU
Al-Fatah Revolutionary Council,Entity,AU
Al-Furqan Foundation Welfare Trust,Entity,AU
Al-Furqan Welfare Foundation,Entity,AU
Al-Hadid,Entity,AU
Al-Hadith,Entity,AU
al-Harala al-Huthiya,Entity,AU
Al-Haramain & Al Masjed Al-Aqsa Charity Foundation,Entity,AU
Al-Haramain Foundation (Indonesia),Entity,AU
Al-Haramain Foundation (Pakistan),Entity,AU
Al-Haramain Foundation (Union of the Comoros),Entity,AU
AL-HARAMAIN ISLAMIC FOUNDATION,Entity,AU
Al-Haramain Islamic Foundation (Somalia),Entity,AU
Al-Haramain: Afghanistan Branch,Entity,AU
Al-Haramain: Albania Branch,Entity,AU
Al-Haramain: Bangladesh Branch,Entity,AU
Al-Haramain: Ethiopia Branch,Entity,AU
Al-Haramain: The Netherlands Branch,Entity,AU
Al-Haramayn and Al Masjid Al Aqsa Charitable Foundation,Entity,AU
Al-Haramayn Foundation (Kenya),Entity,AU
