Dictionary,Type,Countries
" ,حاجى فیض الله خان نورزى",Individual,AU
 'Abd al-Rahman bin 'Amir al-Nu'aymi ,Individual,AU
 Abu Asim Al-Makki,Individual,AU
 Abu-Ali al-Hakim ,Individual,AU
 Abu-Shuayb ,Individual,AU
 Dobrodeev Oleg Borisovich,Individual,NZ
 Konashenkov Igor Evgenievich,Individual,NZ
 Noor Ahmad ,Individual,AU
 Omsen ,Individual,AU
 Pimanov Aleksei  Viktorovich,Individual,NZ
 Sinelin Mikhail  Anatolyevich,Individual,NZ
 إبراهيم حسن طالع عسيري,Individual,AU
 شيخ يونس الموريتاني,Individual,AU
 عبد الحق ولد محمد انور خان,Individual,AU
 كمال بن المولدي بن حسن الحمراوي,Individual,AU
 نور محمد ثاقب,Individual,AU
‘Abd al-Khaliq Badr al-Din al-Huthi ,Individual,AU
"‘ABD AL-RAHMAN BIN ‘UMAYR AL-NU’AYMI 
",Individual,AU
‘ABD AL-RAHMAN KHALAF ‘UBAYD JUDAY’ AL-‘ANIZI,Individual,AU
‘Abd al-Rahman Khalaf al-‘Anzi ,Individual,AU
‘Abd al-Rahman Khalaf al-Anizi ,Individual,AU
"‘ABD AL-RAHMAN MUHAMMAD MUSTAFA AL-QADULI
",Individual,AU
‘Abd al-Rahman Muhammad Mustafa Shaykhlari ,Individual,AU
‘Abwehr’,Individual,AU
‘Adler’,Individual,AU
'Aziz Ahmad 'ALLUSH,Individual,AU
‘Tsar’,Individual,AU
"""Chief Kahwa""",Individual,AU
"""Kawa""",Individual,AU
"""Tek""",Individual,AU
“The Butcher of Paoua”,Individual,AU
1-P,Individual,AU
"A AHMED,",Individual,AU
A. Rahman al-Naimi ,Individual,AU
A. Rahman Omair J Alnaimi ,Individual,AU
AA (initials),Individual,AU
Ab-Bilal,Individual,AU
Abakarov Khizri,Individual,AU
Abakarov Khizri Magomedovich,Individual,NZ
Abass Belaouar Khaled Abou El,Individual,AU
Abass Belaouer Khaled Abou El,Individual,AU
Abass Khaled Abou El,Individual,AU
ABBAS Amjad,Individual,AU
ABBAS Ghassan,Individual,AU
ABBASI Fereidoun,Individual,AU
Abbes Khaled Abou El,Individual,AU
Abd Al-Aziz al-Masri,Individual,AU
Abd Al-Baset Azzouz ,Individual,AU
Abd Al-Hadi,Individual,AU
Abd al-Hadi al-Ansari,Individual,AU
Abd Al-Hadi Al-Iraqi,Individual,AU
Abd Al-Haq,Individual,AU
ABD AL-KHALIQ AL-HOUTHI ,Individual,AU
Abd al-Khaliq al-Huthi,Individual,AU
Abd Al-Latif Bin Abdallah Salih Muhammad Al-Kawari,Individual,AU
Abd al-Muhayman,Individual,AU
Abd Al-Muhsi,Individual,AU
Abd al-Muhsin,Individual,AU
Abd Al-Rahim Ba'asyir,Individual,AU
Abd al-Rahman,Individual,AU
Abd Al-Rahman al-Milad,Individual,AU
Abd al-Rahman al-Nu'aimi ,Individual,AU
Abd al-Rahman al-Nua'ymi ,Individual,AU
Abd al-Rahman bin 'Amir al-Na'imi ,Individual,AU
Abd al-Rahman bin 'Amir al-Nu'imi,Individual,AU
Abd al-Rahman Muhammad al-Juhani,Individual,AU
Abd al-Rahman Muhammad Thafir al-Jahni,Individual,AU
Abd al-Rahman Muhammad Zafir al-Dabisi al-Jahani,Individual,AU
Abd Al-Rahman Muhammad Zafir al-Dubaysi al-Jahani,Individual,AU
Abd Al-Rahman Muhammad Zafir al-Dubaysi al-Jahni,Individual,AU
Abd Al-Rahman Muhammad Zafir al-Dubaysi al-Juhani,Individual,AU
Abd Al-Rahman Muhammad Zafir Al-Dubaysi Al-Juhni,Individual,AU
Abd El Illah  ,Individual,AU
Abd Ur-Rehman,Individual,AU
Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa’dun,Individual,AU
ABD-AL-HAMID AL-MASLI,Individual,AU
Abd-al-Hamid Muhammad Abd-al-Hamid Al-Masli,Individual,AU
Abd-al-Khaliq al-Huthi ,Individual,AU
Abd-al-Khaliq Badr-al-Din al Huthi ,Individual,AU
Abd-al-Latif Abdallah al-Kawari,Individual,AU
Abd-al-Latif Abdallah al-Kawwari,Individual,AU
Abd-al-Latif Abdallah Salih al-Kawari,Individual,AU
Abd-al-Latif Abdallah Salih al-Kuwari ,Individual,AU
Abd-Al-Majid Aziz Al-Zindani,Individual,AU
Abda Mohamed Abu,Individual,AU
Abdal Al-Hadi Al-Iraqi,Individual,AU
Abdalarak,Individual,AU
Abdallah,Individual,AU
Abdallah Abu,Individual,AU
Abdallah al-Hakim,Individual,AU
Abdallah al-Jazairi,Individual,AU
Abdallah al-Mu’ayyad,Individual,AU
Abdallah Ali Thafir,Individual,AU
Abdallah Hajji,Individual,AU
"Abdallah HUSSEIN, Mahafudh Abubakar Ahmed",Individual,AU
Abdallah Kamal Mustafa,Individual,AU
Abdallah Mohamed Adam Brema,Individual,AU
Abdallah Muhammad al-Nu'aymi,Individual,AU
Abdallah Tarwat Salah,Individual,AU
Abdelbassed Azouz ,Individual,AU
Abdelhamid Abou Zeid ,Individual,AU
Abdeljalil Abou,Individual,AU
Abdellah Abou,Individual,AU
"Abdellah Omar, Ramzi Mohamed",Individual,AU
Abdelmajid Al-Zindani,Individual,AU
Abdelnasser Hajji,Individual,AU
Abdelouadoud Abou Mossaab,Individual,AU
Abdelrahman,Individual,AU
Abdelrahman Imer al Jaber al Naimeh ,Individual,AU
ABDELRAHMMAN,Individual,AU
Abdelrazak Fitiwi,Individual,AU
Abdelrazak Fitwi Esmail,Individual,AU
Abdelrazaq,Individual,AU
Abderahmane,Individual,AU
Abderrahmane Al Maghribi  ,Individual,AU
Abderrahmane Ould El Amar ,Individual,AU
Abderrezak Le Para (combat name),Individual,AU
Abdi Abdifatah Abubakar,Individual,AU
ABDI ASJERD  Abbas ,Individual,NZ
"Abdi AW MOHAMMED, Ahmed",Individual,AU
"Abdi AW-MOHAMUD, Ahmed",Individual,AU
Abdi Nuh Ibrahim,Individual,AU
Abdikadir Abdikadir Mohamed,Individual,AU
Abdillah Abdul,Individual,AU
"Abdirahman ABU ZUBEYR, Muktar",Individual,AU
Abdol Reza Shala’i,Individual,AU
Abdollahi Hamed,Individual,AU
ABDOLLAHPOUR Mohammad,Individual,AU
Abdolreza Shahla’i,Individual,AU
Abdoulay Oumar Younous,Individual,AU
Abdoulaye Hissene,Individual,AU
Abdoulaye Issene,Individual,AU
Abdoulaye Issène,Individual,AU
Abdrazzak,Individual,AU
Abdu Muhammad Jamal,Individual,AU
Abdu Muhammad Jamal Ahmad,Individual,AU
Abduh Muhammad Jamal,Individual,AU
Abdukadir,Individual,AU
Abdukadir Mohamed Abdukadir ,Individual,AU
Abdukahlil,Individual,AU
Abdul,Individual,AU
Abdul Aziz Abbasin ,Individual,AU
Abdul Baqi (previously listed as),Individual,AU
Abdul Baset Azouz ,Individual,AU
Abdul Ghani Baradar ,Individual,AU
Abdul Hadi al-Taweel,Individual,AU
Abdul Hai Hazem ,Individual,AU
Abdul Jalil Haqqani (previously listed as),Individual,AU
Abdul Kareem Ayeras ,Individual,AU
Abdul Karim Ayeras  ,Individual,AU
Abdul Khalil ,Individual,AU
Abdul Majeed Chaudhry,Individual,AU
"Abdul MAJEED,",Individual,AU
"Abdul MAJID,",Individual,AU
Abdul Mohsen Abdullah Ibrahim Al-Sharikh,Individual,AU
Abdul Mujib  ,Individual,AU
Abdul Muthana ,Individual,AU
Abdul Quddus Mazhari ,Individual,AU
Abdul Rachim Ba'asyir,Individual,AU
Abdul Rahim Ba'aysir,Individual,AU
Abdul Rahman Muhammad al-Bayati ,Individual,AU
Abdul Rehman al-Sindhi,Individual,AU
ABDUL REHMAN MAKKI ,Individual,AU
Abdul Reza Shala’i,Individual,AU
Abdul Rochim Ba'asyir,Individual,AU
Abdul Rosyid Ridho Ba'asyir,Individual,AU
Abdul Salam Bhattwi ,Individual,AU
Abdul Salam Bhutvi ,Individual,AU
Abdul Salam Budvi ,Individual,AU
Abdul Shaikh Ismail,Individual,AU
Abdul-Ghani,Individual,AU
Abdulasattar,Individual,AU
Abdulkadir,Individual,AU
Abdulkadir Abdulkadir Mohamed,individual,AU
ABDULKARIM Ali,Individual,AU
Abdullah,Individual,AU
Abdullah Abu,Individual,AU
ABDULLAH AL-SENUSSI ,Individual,AU
"Abdullah Binalsheidah, Ramzi Mohamed",Individual,AU
Abdullah Binalshibh Ramsi Mohamed,Individual,AU
Abdullah Binalshibh Ramzi Mohammed,Individual,AU
Abdullah Muddaris ,Individual,AU
Abdullah Shuwar al-Aujayd ,Individual,AU
Abdullahi Mustafa,Individual,AU
Abdulmalik Al-Houthi,Individual,AU
Abdulmalik al-Huthi,Individual,AU
"Abdulrahim ABUZUBAIR, Muktar",Individual,AU
Abdulrahman Abu,Individual,AU
Abdulrahman Omair al Neaimi ,Individual,AU
Abdulrazak,Individual,AU
Abdulrohman Oman,Individual,AU
Abdur Rahman ,Individual,AU
Abdur Rahman al-Sindhi,Individual,AU
"Abdurahman
Salem Ibrahim Milad",Individual,AU
Abdurahman Aman,Individual,AU
Abdurahman Shamsurrahman,Individual,AU
Abdurezak,Individual,AU
Abdurochim Ba'asyir,Individual,AU
Abdurrachman Aman,Individual,AU
Abdurrahim Ba'asyir,Individual,AU
Abdurrahman,Individual,AU
Abdurrahman Abdullah,Individual,AU
Abdurrahman Abu Jibril,individual,AU
Abdurrahman Aman,Individual,AU
Abdurrahman Ba'asyir,Individual,AU
Abdurrahman Mohamad Iqbal,Individual,AU
Abdurrahman Mohammad Jibriel,Individual,AU
Abdurrahman Mohammad Jibril,Individual,AU
Abdurrahman Muslim Abu,Individual,AU
Abdurrahman Oman,Individual,AU
Abdurrochim Ba'asyir,Individual,AU
Abes Belmokhtar Khaled Abou El,Individual,AU
Abes Khaled Abou El,Individual,AU
Abib Soussou,Individual,AU
Abid Hamid Mahmud Al-Tikriti,Individual,AU
ABISOV Sergey Vladimovich,Individual,AU
ABISOV Sergiy Vadymovych,Individual,AU
ABISOV Serhii Vadymovych,Individual,AU
ABISOV Serhiy Vadymovych,Individual,AU
ABNOOSH Salar,Individual,AU
ABNOUSH Salar,Individual,AU
Abolfazl NAZARI ,Individual,AU
Abosslah,Individual,AU
Abou Aayadh ,Individual,AU
Abou Abdallah al Faransi ,Individual,AU
Abou Ala  ,Individual,AU
Abou Iyadh ,Individual,AU
Abou Iyadh el-Tounsi ,Individual,AU
Abou Mohamed Salah  ,Individual,AU
Abou Obeida Youssef Al-Annabi,Individual,AU
Abou Omar Al Tounisi ,Individual,AU
Abou Yasser Al-Jaziri,Individual,AU
Abou Zoubair ,Individual,AU
Aboud Rogo Mohammed ,Individual,AU
"Aboud Yasin,",Individual,AU
ABOUTALEBI Yousef,Individual,"AU, NZ"
ABRAMCHENKO Victoria Valerievna,Individual,AU
Abramchenko Viktoria Valerievna,Individual,NZ
ABRAMCHENKO Viktoriia Valeriivna,Individual,AU
ABRAMCHENKO Viktoriya Valerevna,Individual,AU
Abramov Alexander Alexandrovich,Individual,NZ
ABRAMOV Alexander Grigoryevich,Individual,"NZ, AU"
Abramov Egor Alexandrovich,Individual,NZ
Abramov Ivan Nikolayevich,Individual,"NZ, AU"
Abramova Natalia Alexandrovna,Individual,NZ
Abramovich Roman Arkadyevich,Individual,"NZ, AU"
Absi Abu al Athir Amr al,Individual,AU
Absi Amr al,Individual,AU
Abu 'Ammar  ,Individual,AU
Abu ‘Ubaydah al-Kafi,Individual,AU
Abu 'Umar al-Turkmani,Individual,AU
Abu Abd al-‘Aziz ,Individual,AU
Abu Abdalla al-Harbi ,Individual,AU
Abu Abdullah Santos ,Individual,AU
Abu Adam ,Individual,AU
Abu Ahmad al-Shami,Individual,AU
Abu Akram  ,Individual,AU
Abu al-Asir,Individual,AU
Abu al-Athir,Individual,AU
Abu al-Athir al-Shami,Individual,AU
Abu al-Darda',Individual,AU
Abu Al-Khayr,Individual,AU
Abu al-Wafa,Individual,AU
Abu al-Wafa’,Individual,AU
Abu Al-Ward,Individual,AU
Abu Ala ,Individual,AU
Abu Ali al Hakim ,Individual,AU
Abu Ali al-Kawari ,Individual,AU
Abu Ali Alhakim ,Individual,AU
Abu Ayyad al-Tunisi ,Individual,AU
Abu Bakar Ba'asyir,Individual,AU
Abu Baker al-Khatab,Individual,AU
Abu Bakr al-Baghdadi,Individual,AU
Abu Bakr al-Baghdadi al-Husayni al-Quraishi,Individual,AU
Abu Bakr al-Jaziri (Previously listed as. In Arabic: أبوبكر الجزائري ),Individual,AU
ABU BAKR YUNIS JABIR ,Individual,AU
"Abu BAKR,",Individual,AU
Abu Banat ,Individual,AU
Abu Du'a,Individual,AU
Abu Duaa’,Individual,AU
Abu Gharib al-Madani,Individual,AU
Abu Habib al-Libi,Individual,AU
Abu Hamsa ,Individual,AU
Abu Hamza Al-Masri,Individual,AU
Abu Hamza Al-Misri,Individual,AU
Abu Hamzah ,Individual,AU
Abu Hasan ,Individual,AU
