Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
16097,"Публічне акціонерне товариство ""Акціонерна фінансова компанія ""Система""",legal,active,362/2022,2022-05-24,,,,,,,,,
16098,"Акціонерне товариство ""Група Кронштадт""",legal,active,362/2022,2022-05-24,,,,,,,,,
16099,"AT ""Банк ДОМ.РФ""",legal,active,362/2022,2022-05-24,,,,,,,,,
16100,"Товариство з обмеженою відповідальністю ""ИТИС""",legal,active,363/2022,2022-05-24,,,,,,,,,
16304,Московський державний технічний університет Н.Е. Баумана,legal,active,401/2022,2022-06-09,,,,,,,,,
16305,Перший Московський державний медичний університет імені І.М. Сеченова,legal,active,401/2022,2022-06-09,,,,,,,,,
16306,Санкт-Петербурзький державний університет промислових технологій та дизайну,legal,active,401/2022,2022-06-09,,,,,,,,,
16307,Воронезький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16308,Тихоокеанський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16309,Санкт-Петербурзький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16310,"Федеральний державний автономний освітній заклад вищої освіти ""Московський фізико-технічний інститут",legal,active,401/2022,2022-06-09,,,,,,,,,
16311,Кубанський державний технологічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16312,Новосибірський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16313,Національний дослідницький Нижегородський державний університет імені Лобачевського,legal,active,401/2022,2022-06-09,,,,,,,,,
16314,Південно-Уральський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16315,Академія маркетингу та соціально-інформаційних технологій,legal,active,401/2022,2022-06-09,,,,,,,,,
16316,Західно-Уральський інститут економіки та права,legal,active,401/2022,2022-06-09,,,,,,,,,
16317,Воронезький державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16318,Ухтинський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16319,Інгуський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16320,Бєлгородський державний аграрний університет імені Горіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16321,Чуваський державний університет імені Ульянова,legal,active,401/2022,2022-06-09,,,,,,,,,
16322,Ростовський державний економічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16323,Кабардино-Балкарський державний університет імені Бербекова,legal,active,401/2022,2022-06-09,,,,,,,,,
16324,Бєлгородський юридичний інститут МВС РФ імені Путіліна,legal,active,401/2022,2022-06-09,,,,,,,,,
16325,Пермський державний аграрно-технологічний університет імені академіка Прянішнікова,legal,active,401/2022,2022-06-09,,,,,,,,,
16326,Національний дослідницький університет “Вища школа економікиˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16327,Кабардино-Балкарський державний аграрний університет імені Кокова,legal,active,401/2022,2022-06-09,,,,,,,,,
16328,Дагестанський державний педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16329,Кубанський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16330,Уфимський державний інститут мистецтв імені Загіра Ісмагілова,legal,active,401/2022,2022-06-09,,,,,,,,,
16331,"Кубанський державний університет фізичної культури, спорту і туризму",legal,active,401/2022,2022-06-09,,,,,,,,,
16332,Приамурський державний університет імені Шалом Алейхема,legal,active,401/2022,2022-06-09,,,,,,,,,
