Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення,matched_word,confidence_score
16097,"Публічне акціонерне товариство ""Акціонерна фінансова компанія ""Система""",legal,active,362/2022,2022-05-24,,,,,,,,,,Publichne Aktsionerne Tovarystvo Dochirnii Bank Sberbanku Rosii,0.65
16098,"Акціонерне товариство ""Група Кронштадт""",legal,active,362/2022,2022-05-24,,,,,,,,,,Aktsionerne Tovarystvo Sberbank,0.7
16099,"AT ""Банк ДОМ.РФ""",legal,active,362/2022,2022-05-24,,,,,,,,,,Patek Omar,0.61
16100,"Товариство з обмеженою відповідальністю ""ИТИС""",legal,active,363/2022,2022-05-24,,,,,,,,,,Organisation for Technological Industries,0.48
16304,Московський державний технічний університет Н.Е. Баумана,legal,active,401/2022,2022-06-09,,,,,,,,,,Russian Direct Investment Fund,0.46
16305,Перший Московський державний медичний університет імені І.М. Сеченова,legal,active,401/2022,2022-06-09,,,,,,,,,,Eko Development & Investment Food Company,0.46
16306,Санкт-Петербурзький державний університет промислових технологій та дизайну,legal,active,401/2022,2022-06-09,,,,,,,,,,Malek Ashtar University of Technology,0.48
16307,Воронезький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,NOZJKIN Dmitrij Jurievitj,0.53
16308,Тихоокеанський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,Shahid Behashti University,0.56
16309,Санкт-Петербурзький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,Saint Petersburg Imperial Legion,0.54
16310,"Федеральний державний автономний освітній заклад вищої освіти ""Московський фізико-технічний інститут",legal,active,401/2022,2022-06-09,,,,,,,,,,Federal State Unitary Enterprise Dukhov Automatics Research Institute,0.44
16311,Кубанський державний технологічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,Kaluga Scientific Research Radio Technology Institute,0.53
16312,Новосибірський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,SHAHID BEHESHTI UNIVERSITY,0.51
16313,Національний дослідницький Нижегородський державний університет імені Лобачевського,legal,active,401/2022,2022-06-09,,,,,,,,,,National Association of Producers “Massandra” – State Concern,0.46
16314,Південно-Уральський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,,Shahid Behashti University,0.51
16315,Академія маркетингу та соціально-інформаційних технологій,legal,active,401/2022,2022-06-09,,,,,,,,,,Syrian Company for Information Technology,0.53
16316,Західно-Уральський інститут економіки та права,legal,active,401/2022,2022-06-09,,,,,,,,,,"ANSAR AL-SHARI’A IN TUNISIA (AAS-T)
",0.49
