Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення ,matched_word,confidence_score
16096,Лихачов Олексій Євгенович,individual,active,362/2022,2022-05-24,,,,,,,,,,BUHROV Oleg Yevhenovych,0.7307692307692307
16102,Путін Володимир Володимирович,individual,active,400/2022,2022-06-09,,,,,,,,,,NEMTSEV Volodymyr Volodymyrovych,0.8387096774193549
16103,Пєсков Дмитро Сергійович,individual,active,400/2022,2022-06-09,,,,,,,,,,PESKOV Dmitry Sergeyvich,0.72
16104,Мішустін Михайло Володимирович,individual,active,400/2022,2022-06-09,,,,,,,,,,Mishustin Mikhail Vladimirovich,0.78125
16105,Бєлоусов Андрій Ремович,individual,active,400/2022,2022-06-09,,,,,,,,,,BELOUSOV Andrei Removich,0.8979591836734694
16106,Григоренко Дмитро Юрійович,individual,active,400/2022,2022-06-09,,,,,,,,,,VASYLENKO Dmytro Yuriiovych,0.7636363636363637
16107,Хуснуллін Марат Шакірзянович,individual,active,400/2022,2022-06-09,,,,,,,,,,Khusnullin Marat Shakirzyanovich,0.9375
16108,Чернишенко Дмитро Миколайович,individual,active,400/2022,2022-06-09,,,,,,,,,,CHERNYSHENKO Dmytro Mykolaiovych,0.96875
16109,Борисов Юрій Іванович,individual,active,400/2022,2022-06-09,,,,,,,,,,Bortsov Nikolay Ivanovich,0.7083333333333334
16110,Абрамченко Вікторія Валеріївна,individual,active,400/2022,2022-06-09,,,,,,,,,,ABRAMCHENKO Viktoriia Valeriivna,0.9538461538461539
16111,Голікова Тетяна Олексіївна,individual,active,400/2022,2022-06-09,,,,,,,,,,HOLIKOVA Tetiana Oleksiivna,0.9454545454545454
16112,Трутнєв Юрій Петрович,individual,active,400/2022,2022-06-09,,,,,,,,,,TRUTNEV Yury Petrovich,0.8260869565217391
16113,Лавров Сергій Вікторович,individual,active,400/2022,2022-06-09,,,,,,,,,,LAVROV Sergei Viktorovich,0.88
16114,Сілуанов Антон Германович,individual,active,400/2022,2022-06-09,,,,,,,,,,SILUANOV Anton Germanovich,0.9230769230769231
16115,Новак Олександр Валентинович,individual,active,400/2022,2022-06-09,,,,,,,,,,NOVAK Aleksandr Valentinovich,0.896551724137931
16116,Мантуров Денис Валентинович,individual,active,400/2022,2022-06-09,,,,,,,,,,MANTUROV Denys Valentynovych,1.0
16117,Оверчук Олексій Логвинович,individual,active,400/2022,2022-06-09,,,,,,,,,,OVERCHUK Oleksii Lohvynovych,0.9642857142857143
16118,Чупріян Олександр Петрович,individual,active,400/2022,2022-06-09,,,,,,,,,,CHUPRIYAN Aleksandr Petrovich,0.896551724137931
16119,Мурашко Михайло Альбертович,individual,active,400/2022,2022-06-09,,,,,,,,,,MURASHKO Mykhailo Albertovych,0.9655172413793104
16120,Любимова Ольга Борисівна,individual,active,400/2022,2022-06-09,,,,,,,,,,LIUBYMOVA Olha Borysivna,0.9583333333333334
16121,Кравцов Сергій Сергійович,individual,active,400/2022,2022-06-09,,,,,,,,,,KRAVSTOV Serhii Serhiiovych,0.8888888888888888
16122,Фальков Валерій Миколайович,individual,active,400/2022,2022-06-09,,,,,,,,,,FALKOV Valerii Mykolaiovych,0.9259259259259259
16123,Чекунков Олексій Олегович,individual,active,400/2022,2022-06-09,,,,,,,,,,CHEKUNKOV Oleksii Olehovych,0.9629629629629629
16124,Козлов Олександр Олександрович,individual,active,400/2022,2022-06-09,,,,,,,,,,KZLOV Oleksandr Oleksandrovych,0.9836065573770492
16125,Шадаєв Максут Ігорович,individual,active,400/2022,2022-06-09,,,,,,,,,,Shadayev Maksut Igorevich,0.88
16126,Патрушев Дмитро Миколайович,individual,active,400/2022,2022-06-09,,,,,,,,,,PATRUSHEV Dmitry Nikolayevich,0.7586206896551724
16127,Файзуллін Ірек Енварович,individual,active,400/2022,2022-06-09,,,,,,,,,,FAIZULLIN Irek Envarovich,0.92
16128,Матицин Олег Васильович,individual,active,400/2022,2022-06-09,,,,,,,,,,Matytsin Oleg Vasilievich,0.7755102040816326
16129,Савельєв Віталій Геннадійович,individual,active,400/2022,2022-06-09,,,,,,,,,,SAVELYEV Vitaly Gennadyevich,0.7931034482758621
16130,Котяков Антон Олегович,individual,active,400/2022,2022-06-09,,,,,,,,,,KOTIAKOV Anton Olehovych,0.9583333333333334
16131,Решетніков Максим Геннадійович,individual,active,400/2022,2022-06-09,,,,,,,,,,RESHETNIKOV Maksim Gennadyevich,0.8253968253968254
16132,Шульгинов Микола Григорович,individual,active,400/2022,2022-06-09,,,,,,,,,,MALYSHEV Mykhaylo Hryhorovych,0.7017543859649122
16133,Чуйченко Костянтин Анатолійович,individual,active,400/2022,2022-06-09,,,,,,,,,,CHUICHENKO Kostiantyn Anatoliiovych,0.9142857142857143
16134,Садовничий Віктор Антонович,individual,active,401/2022,2022-06-09,,,,,,,,,,YANUKOVYCH Viktor Fedorovych,0.7017543859649122
16135,Александров Анатолій Олександрович,individual,active,401/2022,2022-06-09,,,,,,,,,,SYDOROV Anatoliy Oleksiyovych,0.75
16136,Глибочко Петро Віталійович,individual,active,401/2022,2022-06-09,,,,,,,,,,Khryakov Alexander Vitaliyovych,0.6440677966101694
16137,Демидов Олексій Вʼячеславович,individual,active,401/2022,2022-06-09,,,,,,,,,,KARYAKIN Oleksiy Vyacheslavovych,0.7301587301587301
16138,Єндовицький Дмитро Олександрович,individual,active,401/2022,2022-06-09,,,,,,,,,,SEMENOV Dmytro Oleksandrovych,0.8253968253968254
16139,Іванченко Сергій Миколайович,individual,active,401/2022,2022-06-09,,,,,,,,,,CHEREVKO Serhiy Mikolayovich,0.7241379310344828
16140,Кропачов Микола Михайлович,individual,active,401/2022,2022-06-09,,,,,,,,,,RYZHKOV Mykola Ivanovych,0.6792452830188679
16141,Кудрявцев Микола Миколайович,individual,active,401/2022,2022-06-09,,,,,,,,,,PATRUSHEV Mykola Platonovych,0.6779661016949152
16142,Лобанов Володимир Григорович,individual,active,401/2022,2022-06-09,,,,,,,,,,KOZHYN Volodymyr Ihorovych,0.7636363636363637
16143,Пустовой Микола Васильович,individual,active,401/2022,2022-06-09,,,,,,,,,,USTYNOV Volodymyr Vasylyovych,0.6909090909090909
16144,Стронгін Роман Григорович,individual,active,401/2022,2022-06-09,,,,,,,,,,BUSARHIN Roman Viktorovych,0.7307692307692307
16145,Шестаков Олександр Леонідович,individual,active,401/2022,2022-06-09,,,,,,,,,,BURKOV Aleksandr Leonidovich,0.7796610169491526
16146,Агабекян Раїса Левонівна,individual,active,401/2022,2022-06-09,,,,,,,,,,Airapetyan Larisa Leonidovna,0.7037037037037037
16147,Агафонова Наталя Миколаївна,individual,active,401/2022,2022-06-09,,,,,,,,,,EVTUSHENKOVA Natalia Nikolayevna,0.6885245901639344
16148,Агібалов Олександр Володимирович,individual,active,401/2022,2022-06-09,,,,,,,,,,DVORNIKOV Oleksandr Volodymyrovych,0.835820895522388
16149,Агіней Руслан Вікторович,individual,active,401/2022,2022-06-09,,,,,,,,,,LIAHIN Roman Viktorovych,0.8163265306122449
16150,Албакова Фатіма Юсупівна,individual,active,401/2022,2022-06-09,,,,,,,,,,ALTABAEVA Kateryna Borysivna,0.6037735849056604
